"cod_noga4","cod_noga2","txt_noga4"
5040,504,"Güterbeförderung in der Binnenschifffahrt"
5110,511,"Personenbeförderung in der Luftfahrt"
5121,512,"Güterbeförderung in der Luftfahrt"
5122,512,"Raumtransport"
5210,521,"Lagerei"
5221,522,"Erbringung von sonstigen Dienstleistungen für den Landverkehr"
5222,522,"Erbringung von sonstigen Dienstleistungen für die Schifffahrt"
5223,522,"Erbringung von sonstigen Dienstleistungen für die Luftfahrt"
5224,522,"Frachtumschlag"
5229,522,"Erbringung von sonstigen Dienstleistungen für den Verkehr a. n. g."
5310,531,"Postdienste von Universaldienstleistungsanbietern"
5320,532,"Sonstige Post-, Kurier- und Expressdienste"
5510,551,"Hotels, Gasthöfe und Pensionen"
5520,552,"Ferienunterkünfte und ähnliche Beherbergungsstätten"
5530,553,"Campingplätze"
5590,559,"Sonstige Beherbergungsstätten"
5610,561,"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä."
5621,562,"Event-Caterer"
5629,562,"Erbringung sonstiger Verpflegungsdienstleistungen"
5630,563,"Ausschank von Getränken"
5811,581,"Verlegen von Büchern"
5812,581,"Verlegen von Adressbüchern und Verzeichnissen"
5813,581,"Verlegen von Zeitungen"
5814,581,"Verlegen von Zeitschriften"
